stim,pos,size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,text.started,text.stopped,kbRight.started,kbRight.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rest_image.started,rest_image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,kbLeft.started,kbLeft.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_2.started,text_2.stopped,sbj,hndns,eye,sex,age,edu,session,date,expName,psychopyVersion,frameRate,
50.bmp,"(-6.06, -3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,78,195,75,,,,,,,,,,,,,,,,,,,,,,,,,1989.3260094999569,None,1989.825605400023,1989.8752520999406,o,1.0894453999353573,1989.825605400023,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
10.bmp,"(6.06, -3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,79,196,25,,,,,,,,,,,,,,,,,,,,,,,,,1990.9408117999556,None,1991.4400473999558,1991.4900365999201,p,1.6027922000503168,1991.4400473999558,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
0.bmp,"(4, 0)","(7, 7)",,,,,,,,,,,,,1,80,197,1,,,,,,,,,,,,,,,,,,,,,,,,,1993.072512999992,None,1993.572149900021,1993.6222918999847,o,0.6693214001134038,1993.572149900021,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
30.bmp,"(-6.06, -3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,81,198,49,,,,,,,,,,,,,,,,,,,,,,,,,1994.2713534999639,None,1994.7713732999982,1994.82089610002,o,1.3599696001037955,1994.7713732999982,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
80.bmp,"(0, 0)","(4.375, 4.375)",,,,,,,,,,,,,1,82,199,104,,,,,,,,,,,,,,,,,,,,,,,,,1996.15329139994,None,1996.6527572999476,1996.7029214999638,p,1.8783802000107244,1996.6527572999476,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(6.06, -3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,83,200,38,,,,,,,,,,,,,,,,,,,,,,,,,1998.5511402999982,None,1999.0505652999273,1999.1005653999746,o,0.8059115000069141,1999.0505652999273,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
60.bmp,"(2, -6.92)","(7, 7)",,,,,,,,,,,,,1,84,201,84,,,,,,,,,,,,,,,,,,,,,,,,,1999.8829766999697,None,2000.3831692999229,2000.4325157999992,o,1.3994330000132322,2000.3831692999229,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(-2, -6.92)","(7, 7)",,,,,,,,,,,,,1,85,202,31,,,,,,,,,,,,,,,,,,,,,,,,,2001.8148994999938,None,2002.314559099963,2002.3641011000145,o,0.7792387999361381,2002.314559099963,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
60.bmp,"(4, 0)","(7, 7)",,,,,,,,,,,,,1,86,203,79,,,,,,,,,,,,,,,,,,,,,,,,,2003.1135913999751,None,2003.613484499976,2003.663327599992,p,1.457163600018248,2003.613484499976,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
0.bmp,"(-2, 6.92)","(7, 7)",,,,,,,,,,,,,1,87,204,3,,,,,,,,,,,,,,,,,,,,,,,,,2005.0953989999834,None,2005.5949526999611,2005.644930499955,o,0.9656438999809325,2005.5949526999611,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
