sbj	stim	rt	key	pos	uhnd	hndns	eye	sex	age	edu
8101992752	10.bmp	0.673858	w	5	l	r	l	m	25	3
8101992752	30.bmp	0.6044106	w	8	l	r	l	m	25	3
8101992752	40.bmp	0.6446406	w	6	l	r	l	m	25	3
8101992752	50.bmp	0.6433718	w	7	l	r	l	m	25	3
8101992752	50.bmp	0.5619182	w	10	l	r	l	m	25	3
8101992752	20.bmp	0.5976891	q	3	l	r	l	m	25	3
8101992752	80.bmp	0.7687367	w	3	l	r	l	m	25	3
8101992752	60.bmp	0.5892355	w	5	l	r	l	m	25	3
8101992752	70.bmp	0.6722057	q	4	l	r	l	m	25	3
8101992752	0.bmp	0.6963058	w	12	l	r	l	m	25	3
8101992752	70.bmp	0.5717167	w	12	l	r	l	m	25	3
8101992752	40.bmp	0.4656856	w	12	l	r	l	m	25	3
8101992752	10.bmp	0.5941648	w	2	l	r	l	m	25	3
8101992752	20.bmp	0.4958907	w	2	l	r	l	m	25	3
8101992752	80.bmp	0.4177533	q	9	l	r	l	m	25	3
8101992752	80.bmp	0.6786917	q	2	l	r	l	m	25	3
8101992752	20.bmp	0.7488721	q	13	l	r	l	m	25	3
8101992752	80.bmp	0.4962357	w	11	l	r	l	m	25	3
8101992752	40.bmp	0.6272672	q	4	l	r	l	m	25	3
8101992752	60.bmp	0.5020274	q	3	l	r	l	m	25	3
8101992752	0.bmp	0.5182815	q	4	l	r	l	m	25	3
8101992752	70.bmp	0.4926975	q	9	l	r	l	m	25	3
8101992752	40.bmp	0.6809133	q	3	l	r	l	m	25	3
8101992752	10.bmp	0.6329094	w	12	l	r	l	m	25	3
8101992752	60.bmp	0.6440496	q	13	l	r	l	m	25	3
8101992752	30.bmp	0.5707271	q	3	l	r	l	m	25	3
8101992752	50.bmp	0.7719073	w	5	l	r	l	m	25	3
8101992752	10.bmp	0.5695894	q	6	l	r	l	m	25	3
8101992752	10.bmp	0.6329727	w	11	l	r	l	m	25	3
8101992752	0.bmp	0.6055021	q	6	l	r	l	m	25	3
8101992752	0.bmp	0.6216979	w	2	l	r	l	m	25	3
8101992752	40.bmp	0.5488015	q	9	l	r	l	m	25	3
8101992752	40.bmp	0.6741367	q	13	l	r	l	m	25	3
8101992752	80.bmp	0.4764857	q	6	l	r	l	m	25	3
8101992752	60.bmp	0.6494462	w	8	l	r	l	m	25	3
8101992752	10.bmp	0.7663797	q	9	l	r	l	m	25	3
8101992752	80.bmp	0.741158	q	7	l	r	l	m	25	3
8101992752	0.bmp	1.331064	w	1	l	r	l	m	25	3
8101992752	10.bmp	0.906693	w	7	l	r	l	m	25	3
8101992752	30.bmp	0.7545791	q	4	l	r	l	m	25	3
8101992752	10.bmp	0.5888766	q	4	l	r	l	m	25	3
8101992752	20.bmp	0.7153695	w	7	l	r	l	m	25	3
8101992752	50.bmp	0.843753	w	11	l	r	l	m	25	3
8101992752	70.bmp	0.5767573	q	3	l	r	l	m	25	3
8101992752	80.bmp	0.6041768	q	1	l	r	l	m	25	3
8101992752	30.bmp	0.7217731	w	1	l	r	l	m	25	3
8101992752	50.bmp	0.6165813	w	8	l	r	l	m	25	3
8101992752	0.bmp	0.6443092	w	11	l	r	l	m	25	3
8101992752	20.bmp	0.4763981	w	10	l	r	l	m	25	3
8101992752	30.bmp	0.71097	q	7	l	r	l	m	25	3
8101992752	20.bmp	0.5010373	q	9	l	r	l	m	25	3
8101992752	40.bmp	0.6225606	w	2	l	r	l	m	25	3
8101992752	10.bmp	0.6328778	w	13	l	r	l	m	25	3
8101992752	40.bmp	0.6386164	w	1	l	r	l	m	25	3
