sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101992751,60.bmp,0.4567493,p,4,r,r,r,m,23,3
8101992751,80.bmp,0.4067163,o,11,r,r,r,m,23,3
8101992751,40.bmp,0.4165514,p,12,r,r,r,m,23,3
8101992751,0.bmp,0.4316329,o,5,r,r,r,m,23,3
8101992751,10.bmp,0.5456195,p,5,r,r,r,m,23,3
8101992751,40.bmp,0.6193668,p,10,r,r,r,m,23,3
8101992751,50.bmp,0.4390866,p,3,r,r,r,m,23,3
8101992751,70.bmp,0.3707447,o,3,r,r,r,m,23,3
8101992751,60.bmp,0.4807088,p,10,r,r,r,m,23,3
8101992751,50.bmp,0.4268928,o,5,r,r,r,m,23,3
8101992751,30.bmp,0.513496,p,4,r,r,r,m,23,3
8101992751,20.bmp,0.8662151,p,6,r,r,r,m,23,3
8101992751,0.bmp,0.3479351,p,10,r,r,r,m,23,3
8101992751,40.bmp,0.4065672,p,1,r,r,r,m,23,3
8101992751,80.bmp,0.3264333,o,9,r,r,r,m,23,3
8101992751,0.bmp,0.2853203,p,13,r,r,r,m,23,3
8101992751,10.bmp,0.2251288,o,13,r,r,r,m,23,3
8101992751,70.bmp,0.2613418,p,7,r,r,r,m,23,3
8101992751,30.bmp,0.3026094,o,9,r,r,r,m,23,3
8101992751,20.bmp,0.216319,p,8,r,r,r,m,23,3
8101992751,70.bmp,0.1210702,o,11,r,r,r,m,23,3
8101992751,70.bmp,0.1405433,p,10,r,r,r,m,23,3
8101992751,60.bmp,0.1476883,o,7,r,r,r,m,23,3
8101992751,50.bmp,0.0714977,p,1,r,r,r,m,23,3
8101992751,80.bmp,0.1864911,o,1,r,r,r,m,23,3
8101992751,60.bmp,0.1594473,p,12,r,r,r,m,23,3
8101992751,30.bmp,0.2058565,o,12,r,r,r,m,23,3
8101992751,20.bmp,0.1305632,p,13,r,r,r,m,23,3
8101992751,60.bmp,0.1567892,o,11,r,r,r,m,23,3
8101992751,30.bmp,0.1574572,p,3,r,r,r,m,23,3
8101992751,60.bmp,0.2273795,o,2,r,r,r,m,23,3
8101992751,30.bmp,0.1701226,p,6,r,r,r,m,23,3
8101992751,10.bmp,0.1582659,p,4,r,r,r,m,23,3
8101992751,60.bmp,0.1016243,o,3,r,r,r,m,23,3
8101992751,0.bmp,0.0599944,p,7,r,r,r,m,23,3
8101992751,10.bmp,0.080643,o,9,r,r,r,m,23,3
8101992751,40.bmp,0.0834755,p,2,r,r,r,m,23,3
8101992751,60.bmp,0.0474244,o,8,r,r,r,m,23,3
8101992751,60.bmp,0.1698044,p,13,r,r,r,m,23,3
8101992751,50.bmp,0.3633899,p,9,r,r,r,m,23,3
8101992751,0.bmp,0.375032,o,2,r,r,r,m,23,3
8101992751,10.bmp,0.39065,o,7,r,r,r,m,23,3
8101992751,20.bmp,0.5504193,p,5,r,r,r,m,23,3
8101992751,0.bmp,0.3600658,o,9,r,r,r,m,23,3
8101992751,30.bmp,0.3912344,p,8,r,r,r,m,23,3
8101992751,20.bmp,0.3277436,o,2,r,r,r,m,23,3
8101992751,80.bmp,0.4620084,p,13,r,r,r,m,23,3
8101992751,70.bmp,0.335979,o,5,r,r,r,m,23,3
8101992751,0.bmp,0.5064588,p,1,r,r,r,m,23,3
